BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.750085472033333645e+04	9.993358238472534083e+01	2.463511495586917233e-01	-2.066000000000000014e+01	4.927022991173834465e-01	7.048128622670785262e+03	5.789252014629254761e-01
5.750190514333332976e+04	1.038253639664979318e+02	2.367136103677465464e-01	-2.029666666666666686e+01	4.734272207354930928e-01	7.049294385879784386e+03	5.562769843642044743e-01
5.750293360233333078e+04	1.014770073955932048e+02	2.424871130596428503e-01	-2.084999999999999787e+01	4.849742261192857007e-01	7.048587470052122626e+03	5.698447156901605970e-01
5.750410808333333262e+04	1.010901777744065697e+02	2.405780076768817555e-01	-2.058000000000000185e+01	4.811560153537635109e-01	7.048427155080576085e+03	5.653583180406721587e-01
5.750598536833332764e+04	1.029701165944922536e+02	2.367136103677465464e-01	-2.019666666666666899e+01	4.734272207354930928e-01	7.050137040018135849e+03	5.562769843642044743e-01
5.750708290899999702e+04	1.024397298782411525e+02	2.367136103677465464e-01	-2.063333333333333641e+01	4.734272207354930928e-01	7.050125178431092536e+03	5.562769843642044743e-01
5.750906149766666931e+04	1.010223280971491278e+02	2.367136103677465464e-01	-2.006000000000000227e+01	4.734272207354930928e-01	7.050014724451592883e+03	5.562769843642044743e-01
5.750993347933333280e+04	1.016817263356013541e+02	2.367136103677465464e-01	-2.017333333333333201e+01	4.734272207354930928e-01	7.048820058388434518e+03	5.562769843642044743e-01
5.751190255800000159e+04	1.054586564354906812e+02	2.424871130596428503e-01	-1.976000000000000156e+01	4.849742261192857007e-01	7.048994873610678042e+03	5.698447156901605970e-01
5.751286715199999890e+04	1.044421025413294615e+02	2.482606157515390988e-01	-1.968000000000000327e+01	4.965212315030781975e-01	7.048408317291876301e+03	5.834124470161168308e-01
5.751385237766666251e+04	1.006767880550090837e+02	2.424871130596428503e-01	-2.044999999999999929e+01	4.849742261192857007e-01	7.048924742237024475e+03	5.698447156901605970e-01
5.751990258900000481e+04	1.031811725706864564e+02	2.367136103677465464e-01	-1.917666666666666586e+01	4.734272207354930928e-01	7.051235663878461310e+03	5.562769843642044743e-01
5.752210821866666811e+04	1.040806221599499821e+02	2.367136103677465464e-01	-1.969000000000000128e+01	4.734272207354930928e-01	7.049296366417322133e+03	5.562769843642044743e-01
5.752305838699999731e+04	1.012547359011208670e+02	2.367136103677465464e-01	-1.913000000000000256e+01	4.734272207354930928e-01	7.049725662523739629e+03	5.562769843642044743e-01
5.752384327799999301e+04	1.020627004462324976e+02	2.424871130596428503e-01	-2.001666666666666572e+01	4.849742261192857007e-01	7.049484929186436602e+03	5.698447156901605970e-01
5.752609657333333598e+04	1.037651612313724598e+02	2.367136103677465464e-01	-1.975000000000000000e+01	4.734272207354930928e-01	7.049654749706627626e+03	5.562769843642044743e-01
5.752691866366667091e+04	1.021925910469245764e+02	2.367136103677465464e-01	-2.047333333333333272e+01	4.734272207354930928e-01	7.051922174524381262e+03	5.562769843642044743e-01
